YEAR,Make,Model,Size,(kW),CITY (kWh/100 km),HWY (kWh/100 km),PrimaryKey
2012,MITSUBISHI,i-MiEV,SUBCOMPACT,49,16.9,21.4,A1
2012,NISSAN,LEAF,MID-SIZE,80,19.3,23,A2
2013,FORD,FOCUS ELECTRIC,COMPACT,107,19,21.1,A3
2013,MITSUBISHI,i-MiEV,SUBCOMPACT,49,16.9,21.4,A4
2013,NISSAN,LEAF,MID-SIZE,80,19.3,23,A5
2013,SMART,FORTWO ELECTRIC DRIVE CABRIOLET,TWO-SEATER,35,17.2,22.5,A6
2013,SMART,FORTWO ELECTRIC DRIVE COUPE,TWO-SEATER,35,17.2,22.5,A7
2013,TESLA,MODEL S (40 kWh battery),FULL-SIZE,270,22.4,21.9,A8
2013,TESLA,MODEL S (60 kWh battery),FULL-SIZE,270,22.2,21.7,A9
2013,TESLA,MODEL S (85 kWh battery),FULL-SIZE,270,23.8,23.2,A10
2013,TESLA,MODEL S PERFORMANCE,FULL-SIZE,310,23.9,23.2,A11
2014,CHEVROLET,SPARK EV,SUBCOMPACT,104,16,19.6,A12
2014,FORD,FOCUS ELECTRIC,COMPACT,107,,21.1,A13
2014,MITSUBISHI,i-MiEV,SUBCOMPACT,49,16.9,21.4,B1
2014,NISSAN,LEAF,MID-SIZE,80,16.5,20.8,B2
2014,SMART,FORTWO ELECTRIC DRIVE CABRIOLET,TWO-SEATER,35,17.2,22.5,B3
2014,SMART,FORTWO ELECTRIC DRIVE COUPE,TWO-SEATER,35,17.2,22.5,B4
2014,TESLA,MODEL S (60 kWh battery),FULL-SIZE,225,22.2,21.7,B5
2014,TESLA,MODEL S (85 kWh battery),FULL-SIZE,270,23.8,23.2,B6
2014,TESLA,MODEL S PERFORMANCE,FULL-SIZE,310,23.9,23.2,B7
2015,BMW,i3,SUBCOMPACT,125,15.2,18.8,B8
2015,CHEVROLET,SPARK EV,SUBCOMPACT,104,16,19.6,B9
2015,FORD,FOCUS ELECTRIC,COMPACT,107,19,,B10
2015,KIA,SOUL EV,STATION WAGON - SMALL,81,17.5,22.7,B11
2015,MITSUBISHI,i-MiEV,SUBCOMPACT,49,16.9,21.4,B12
2015,NISSAN,LEAF,MID-SIZE,80,16.5,20.8,B13
2015,SMART,FORTWO ELECTRIC DRIVE CABRIOLET,TWO-SEATER,35,17.2,22.5,B14
2015,SMART,FORTWO ELECTRIC DRIVE COUPE,TWO-SEATER,35,17.2,22.5,B15
2015,TESLA,MODEL S (60 kWh battery),FULL-SIZE,283,22.2,21.7,C1
2015,TESLA,MODEL S (70 kWh battery),FULL-SIZE,283,23.8,23.2,C2
2015,TESLA,MODEL S (85/90 kWh battery),FULL-SIZE,283,23.8,23.2,C3
2015,TESLA,MODEL S 70D,FULL-SIZE,280,20.8,20.6,C4
2015,TESLA,MODEL S 85D/90D,FULL-SIZE,280,22,19.8,C5
2015,TESLA,MODEL S P85D/P90D,FULL-SIZE,515,23.4,21.5,C6
2016,BMW,i3,SUBCOMPACT,125,15.2,18.8,C7
2016,CHEVROLET,SPARK EV,SUBCOMPACT,104,16,,C8
2016,FORD,FOCUS ELECTRIC,COMPACT,107,19,21.1,C9
2016,KIA,SOUL EV,STATION WAGON - SMALL,81,17.5,22.7,C10
2016,MITSUBISHI,i-MiEV,SUBCOMPACT,49,16.9,21.4,C11
2016,NISSAN,LEAF (24 kWh battery),MID-SIZE,80,,20.8,C12
2016,NISSAN,LEAF (30 kWh battery),MID-SIZE,80,17,20.7,C13
2016,SMART,FORTWO ELECTRIC DRIVE CABRIOLET,TWO-SEATER,35,17.2,22.5,C14
2016,SMART,FORTWO ELECTRIC DRIVE COUPE,TWO-SEATER,35,17.2,22.5,C15
2016,TESLA,MODEL S (60 kWh battery),FULL-SIZE,283,22.2,21.7,C16
2016,TESLA,MODEL S (70 kWh battery),FULL-SIZE,283,23.8,23.2,C17
2016,TESLA,MODEL S (85/90 kWh battery),FULL-SIZE,283,23.8,23.2,C18
2016,TESLA,MODEL S 70D,FULL-SIZE,386,20.8,20.6,C19
2016,TESLA,MODEL S 85D/90D,FULL-SIZE,386,22,19.8,C20
2016,TESLA,MODEL S 90D (Refresh),FULL-SIZE,386,20.8,19.7,C21
2016,TESLA,MODEL S P85D/P90D,FULL-SIZE,568,23.4,21.5,C22
2016,TESLA,MODEL S P90D (Refresh),FULL-SIZE,568,22.9,21,C23
2016,TESLA,MODEL X 90D,SUV - STANDARD,386,23.2,22.2,C24
2016,TESLA,MODEL X P90D,SUV - STANDARD,568,23.6,23.3,C25
